agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Morris County Sheriffs Department,Council Grove,KS,Sheriff'S Office,38.659428,-96.49504,7,12,Monday,August,20,2018
Loves Park Police Department,Loves Park,IL,Local Police Department,42.31367,-89.055374,34,36,Tuesday,November,20,2018
Lebanon Police Department,Lebanon,IL,Local Police Department,38.604145,-89.81194,11,11,Friday,November,16,2018
Bel Air Police Department,Bel Air,MD,Local Police Department,39.538815,-76.34805,28,40,Tuesday,August,7,2018
Clare Police Department,Clare,MI,Local Police Department,43.819355,-84.77185,8,9,Tuesday,February,5,2019
Milford Police Department,Milford,DE,Local Police Department,38.916603,-75.420616,30,39,Monday,August,6,2018
Gaylord Police Department,Gaylord,MI,Local Police Department,45.02788,-84.67097,11,-999,Monday,February,4,2019
Hart Police Department,Hart,MI,Local Police Department,43.698727,-86.36437,4,4,Thursday,February,7,2019
Iosco County Sheriffs Office / Iosco County Jail,Tawas City,MI,Sheriff'S Office,44.26874,-83.516945,3,25,Wednesday,February,6,2019
Richfield Township Department Of Public Safety,Saint Helen,MI,Local Police Department,44.3551,-84.40952,6,7,Thursday,February,7,2019
Mount Morris City Police Department,Mount Morris,MI,Local Police Department,43.118256,-83.695114,8,9,Wednesday,February,6,2019
Delta County Sheriffs Office / Delta County Correctional Facility,Escanaba,MI,Sheriff'S Office,45.74678,-87.051285,18,34,Wednesday,February,6,2019
Grand Traverse County Sheriffs Office / Grand Traverse County Jail,Traverse City,MI,Sheriff'S Office,44.75223,-85.60679,64,128,Wednesday,February,6,2019
Genesee County Sheriffs Office / Genesee County Jail,Flint,MI,Sheriff'S Office,43.01086,-83.687195,144,253,Wednesday,February,6,2019
Roscommon County Sheriffs Office / Roscommon County Jail,Roscommon,MI,Sheriff'S Office,44.496113,-84.59376,24,40,Thursday,February,7,2019
Ingham County Sheriffs Office / Ingham County Jail,Mason,MI,Sheriff'S Office,42.59096,-84.45618,82,215,Wednesday,February,6,2019
Ithaca Police Department,Ithaca,MI,Local Police Department,43.292065,-84.608765,4,4,Wednesday,February,6,2019
Prince Georges County Police - Auto Theft Unit,Landover,MD,Local Police Department,38.917877,-76.87578,1578,1840,Tuesday,August,7,2018
Kosciusko County Sheriffs Department / Kosciusko County Jail,Warsaw,IN,Sheriff'S Office,41.23862,-85.858635,36,91,Tuesday,August,28,2018
Queen Annes County Sheriffs Office,Centreville,MD,Sheriff'S Office,39.042416,-76.06069,50,53,Tuesday,August,7,2018
York County Sheriffs Department / York County Jail,Alfred,ME,Sheriff'S Office,43.453407,-70.71749,38,126,Thursday,March,7,2019
Meade County Sheriffs Office / Meade County Jail,Meade,KS,Sheriff'S Office,37.28708,-100.33902,5,19,Monday,August,20,2018
Waldo County Sheriffs Department / Waldo County Jail,Belfast,ME,Sheriff'S Office,44.42251,-69.00961,16,44,Thursday,March,7,2019
Simpson County Sheriffs Department / Simpson County Jail,Franklin,KY,Sheriff'S Office,36.72329,-86.57583,11,15,Friday,August,10,2018
Grant County Sheriff Department,Williamstown,KY,Sheriff'S Office,38.63689,-84.56117,12,15,Friday,August,10,2018
Orofino Police Department,Orofino,ID,Local Police Department,46.47818,-116.252045,6,7,Friday,August,31,2018
Caribou County Sheriffs Office / Caribou County Jail,Soda Springs,ID,Sheriff'S Office,42.655136,-111.589516,16,22,Friday,August,31,2018
Hyattsville Police Department,Hyattsville,MD,Local Police Department,38.952984,-76.941826,43,56,Monday,August,6,2018
Mancelona Police Department,Mancelona,MI,Local Police Department,44.902714,-85.062416,2,2,Thursday,February,7,2019
Biddeford Police Department,Biddeford,ME,Local Police Department,43.491776,-70.45392,46,68,Thursday,March,7,2019
Carrabassett Valley Police Department,Carrabassett Valley,ME,Local Police Department,45.05365,-70.30934,7,7,Thursday,March,7,2019
Laurel City Police Department,Laurel,MD,Local Police Department,39.106037,-76.844574,60,79,Monday,August,6,2018
Cherry Valley Police Department,Cherry Valley,IL,Local Police Department,42.237396,-88.9426,14,15,Tuesday,November,20,2018
Linn Valley Police Department,Linn Valley,KS,Local Police Department,38.37483,-94.688354,2,2,Monday,August,20,2018
Glen Carbon Police Department,Glen Carbon,IL,Local Police Department,38.763355,-89.96876,19,27,Wednesday,November,7,2018
Grundy County Sheriffs Department,Morris,IL,Sheriff'S Office,41.356674,-88.42336,31,64,Monday,November,5,2018
Lincoln Police Department,Lincoln,ME,Local Police Department,45.366203,-68.50353,6,7,Thursday,March,7,2019
Yale Police Department,Yale,MI,Local Police Department,43.129078,-82.79981,4,4,Monday,February,11,2019
City Of Saint Clair Police Department,Saint Clair,MI,Local Police Department,42.831516,-82.503075,9,10,Monday,February,11,2019
Fort Fairfield Police Department,Fort Fairfield,ME,Local Police Department,46.770515,-67.836136,4,4,Thursday,March,7,2019
